high,low,open,close,volume,hour
133.36,131.16,131.98,132.25,15799.53675081999,0
133.32,132.3,132.41,133.12,3111.466728999996,1
134.34,132.9,133.13,133.28,3044.057178949993,2
135.32,133.28,133.28,134.39,4032.2595759299975,3
134.77,133.36,134.39,133.48,1153.1003713000002,4
134.0,133.52,133.72,133.82,192.59940617999902,5
134.62,133.62,133.85,133.88,3197.1213974199945,6
134.76,133.33,133.89,134.34,1381.0135071399925,7
136.07,133.94,134.54,134.56,1571.474682200001,8
134.59,133.09,134.56,133.85,1224.8454113300002,9
133.86,132.2,133.86,132.98,1094.9722728600004,10
133.63,132.57,132.98,133.45,419.20326791000036,11
133.69,132.72,133.28,132.89,425.6534293499999,12
132.95,130.82,132.95,132.03,4729.100003549999,13
136.23,132.06,132.1,136.23,2908.0845843299935,14
141.35,135.69,136.19,138.45,20683.052049230002,15
139.19,137.56,138.45,137.7,3045.8825108299993,16
138.67,136.53,137.68,138.1,2965.4716427599997,17
141.27,137.28,137.9,139.91,10535.366734590003,18
141.06,138.68,139.9,139.7,9040.601867039844,19
140.0,138.68,139.7,138.77,933.3953346099828,20
139.54,138.73,138.78,139.19,1428.9976940199813,21
140.0,139.1,139.19,139.17,1441.5579908799848,22
140.43,138.96,139.17,140.22,2611.952593950008,23
140.29,139.42,140.22,139.98,1398.786851029985,0
139.98,139.25,139.98,139.78,2424.5925526900423,1
144.76,139.7,139.78,144.71,11986.57656423961,2
147.32,144.64,144.69,145.4,11688.813158120123,3
146.63,144.63,145.38,145.15,3146.2556808200675,4
150.0,145.13,145.16,149.23,6449.145327080045,5
150.0,147.43,149.23,148.3,2791.934856550034,6
149.29,146.81,148.31,148.64,3898.5844438301724,7
152.72,148.61,148.65,152.5,11155.199682420167,8
152.62,149.71,152.51,151.44,7239.698858400131,9
152.0,147.57,151.42,149.12,7727.242183540161,10
153.44,148.38,149.12,150.92,13451.777936330036,11
151.48,148.98,150.51,150.23,9339.852177270011,12
150.48,148.11,150.21,150.29,4341.926944370005,13
152.18,149.34,150.23,151.25,4105.316813649999,14
152.74,150.33,151.5,152.38,2843.8313747799984,15
156.0,151.36,152.38,154.55,15372.911752270033,16
157.09,153.21,154.55,155.05,11873.784371350006,17
156.92,152.29,155.22,153.51,8180.362904490011,18
154.21,150.4,153.5,150.5,7110.158491010006,19
152.46,150.5,150.64,152.08,3155.4604829799982,20
153.8,151.25,152.11,151.51,5863.453979989998,21
152.63,150.99,151.99,152.5,7882.487090580009,22
154.47,152.16,152.49,153.02,7013.991883810005,23
153.9,151.2,152.87,152.76,8389.36844309001,0
153.25,152.06,152.74,152.49,2751.95901173,1
153.11,152.18,152.73,152.42,1015.0021704099964,2
152.45,148.3,152.28,148.91,7107.15092191001,3
150.0,146.9,149.0,148.92,7919.995434179992,4
150.3,148.57,148.78,149.26,8388.023376979994,5
149.3,146.04,149.27,147.77,6855.790065030009,6
149.5,147.16,147.64,149.5,6363.178346749992,7
149.99,148.44,149.5,149.6,3332.7590051100065,8
149.98,147.85,149.26,148.27,4455.35722197001,9
149.43,147.42,148.11,148.96,5314.027415149993,10
149.2,143.51,149.08,145.09,19317.697212039984,11
146.61,144.32,145.18,145.88,8271.934255370006,12
145.96,144.5,145.89,145.51,8730.04562206001,13
146.6,145.5,145.51,146.13,2577.71143795,14
148.98,146.14,146.14,148.74,7107.081038380008,15
148.7,146.55,148.7,147.88,2688.5299070999954,16
148.74,146.7,147.86,148.68,1947.6121152799997,17
148.68,146.09,148.68,146.98,3822.059427669996,18
146.97,144.77,146.97,146.83,7356.872492370002,19
148.81,146.7,146.7,148.4,4485.4773923899975,20
148.33,146.74,148.33,147.38,1896.7734014400007,21
151.88,147.0,147.35,151.37,7276.054674010011,22
152.87,150.23,151.37,151.67,6547.010107730005,23
155.16,149.65,151.8,153.69,8437.77304297001,0
155.38,153.02,153.66,154.08,7979.170397850005,1
155.71,152.99,154.01,153.55,4259.730609759998,2
154.8,151.56,153.63,152.03,8596.359281130002,3
152.12,149.95,152.03,150.75,6242.588197570002,4
152.6,150.4,150.88,152.59,1532.0168706799996,5
152.72,149.99,152.45,150.48,3691.4422898399976,6
151.38,149.6,150.37,151.04,2874.7193828599934,7
151.94,150.14,150.91,150.84,6325.399056219996,8
151.38,146.0,150.83,147.07,14039.322612670023,9
148.02,144.9,147.07,148.0,10334.543632800016,10
149.2,147.05,147.88,148.72,4095.552706679999,11
149.17,147.59,148.7,148.33,3104.114129090003,12
148.64,147.64,148.33,148.17,1612.3469012199985,13
149.38,147.51,148.17,149.23,4051.2276914800077,14
152.76,148.18,149.2,151.9,12733.332137240051,15
156.14,151.64,151.91,154.26,15291.083001290004,16
154.72,152.69,154.03,153.42,5975.012837320008,17
154.02,152.5,153.41,153.48,4555.233640399994,18
161.0,153.14,153.27,159.22,26656.57428291999,19
160.5,156.69,159.2,159.3,10049.29796747,20
160.23,158.12,159.11,158.81,6933.847087470007,21
159.66,157.81,158.8,159.0,2899.37699978,22
159.81,158.19,159.0,158.3,3764.9194525000016,23
159.88,158.29,158.3,159.06,4767.753987070003,0
159.09,155.01,159.0,156.2,12292.720416679993,1
156.5,154.36,156.01,154.58,2822.13533268,2
156.45,154.64,154.64,155.81,2997.2510391299907,3
156.55,155.44,155.81,155.74,2214.5318479199996,4
155.74,153.72,155.67,155.21,4946.393810079996,5
158.26,155.23,155.23,157.49,1844.3061566099993,6
158.49,156.5,157.7,156.66,2084.10969961,7
156.66,155.42,156.58,156.19,1882.632296120001,8
156.9,155.5,156.1,156.14,1785.9708456100004,9
158.82,156.0,156.38,156.03,4695.05066031,10
158.39,154.02,156.03,155.75,15261.250092599985,11
157.0,155.53,155.68,156.1,1854.9865578499996,12
157.73,155.7,156.1,157.08,3713.7410504500012,13
157.81,155.03,157.06,157.31,6020.593840860006,14
157.27,156.03,157.27,156.81,4561.336265219999,15
157.4,156.69,156.87,156.9,2304.269007690001,16
157.09,152.5,157.0,154.81,15863.058907410003,17
154.87,153.54,154.81,153.93,6150.268347750008,18
154.9,153.02,153.82,154.17,2789.08116811,19
154.26,149.5,154.17,150.09,18031.925072810016,20
150.58,147.16,150.06,150.2,10743.110086400018,21
151.64,150.05,150.2,151.35,4100.431377749996,22
151.44,150.61,151.35,151.44,2164.683208819995,23
152.0,151.07,151.4,151.2,3170.88159988,0
151.49,150.96,151.19,151.33,623.9219924999999,1
151.32,150.25,151.32,150.72,2166.5227354599992,2
150.99,150.24,150.78,150.87,5554.234224680006,3
152.98,150.74,150.8,151.37,5127.7898678700085,4
153.89,151.26,151.37,152.56,2761.7550942399967,5
154.14,152.47,152.62,153.32,3893.9970303,6
153.65,151.2,153.32,151.32,4899.524824070001,7
152.49,151.1,151.39,151.52,1828.9403856799986,8
152.0,151.18,151.67,152.0,1587.1735367299998,9
153.4,151.5,152.0,151.97,4286.124616180005,10
152.9,151.42,151.97,152.58,2665.6136209099996,11
160.0,152.53,152.53,157.57,24429.99060272006,12
158.69,157.04,157.63,157.1,7649.349398769998,13
158.0,156.5,157.1,156.61,6023.051614249998,14
157.05,154.59,156.61,155.3,8402.597462610001,15
156.2,154.82,154.96,155.77,4826.19416962,16
156.64,154.4,155.76,154.6,4768.586268520012,17
157.05,154.53,154.53,155.83,6106.843032380011,18
157.5,155.84,155.84,156.3,3917.9885275599972,19
156.29,153.84,156.29,155.0,9015.835807170008,20
155.1,154.0,155.0,154.74,9298.192088410005,21
155.51,154.72,154.72,155.2,6184.110029840003,22
155.9,154.9,155.2,154.9,5745.8158928300045,23
155.6,154.7,154.9,155.4,3913.6687749999987,0
155.77,155.0,155.4,155.01,2045.5390100900004,1
155.87,155.05,155.14,155.34,2772.439861840001,2
155.7,154.9,155.38,155.15,4840.565136390001,3
155.14,149.27,155.14,151.27,13845.301403560015,4
152.92,151.14,151.27,152.05,6203.261753980045,5
153.21,151.82,151.85,153.14,2879.8534198799966,6
153.19,151.49,153.18,151.63,1495.9734193700006,7
153.23,151.45,151.46,152.73,4338.005982810002,8
154.1,152.65,152.79,153.15,3787.5860719099933,9
153.31,152.04,153.16,152.32,1724.7098300299988,10
153.0,152.0,152.31,152.4,5457.886754630006,11
152.98,150.63,152.39,152.28,5599.06354620001,12
153.3,152.16,152.19,152.8,2825.612950569997,13
153.2,152.41,152.8,152.77,1398.3778436900006,14
152.98,151.18,152.75,151.58,3013.9218741099985,15
152.12,150.1,151.63,150.35,5376.2406729099985,16
150.6,147.76,150.37,150.0,13322.672221990011,17
150.66,149.21,150.0,150.52,2196.478841029997,18
151.8,150.41,150.53,151.28,6871.496242430013,19
151.42,150.24,151.36,150.24,1803.7352387900003,20
150.16,146.15,150.16,148.09,14124.251469640009,21
148.59,147.75,148.12,147.99,1276.73756497,22
148.19,147.51,147.98,147.89,2029.5249344599997,23
147.91,146.49,147.91,147.43,4272.624505569999,0
148.16,146.93,147.44,148.16,2445.9270264699994,1
148.72,147.6,148.03,148.16,4334.505834050003,2
149.18,147.86,148.05,148.71,3075.365801700003,3
149.48,147.8,148.67,149.27,5787.358115959989,4
149.41,148.9,149.17,149.4,2035.4369751600004,5
151.99,148.93,149.3,151.34,5724.9923671700035,6
151.48,150.62,151.12,151.0,2170.5381224400003,7
152.6,150.94,150.94,152.31,8670.236283260012,8
152.49,151.12,152.4,151.34,7628.353125770022,9
153.0,149.69,151.35,149.86,10987.48431304002,10
150.36,148.6,149.9,149.66,12229.845532580022,11
150.0,148.65,149.51,148.75,3531.1128499,12
149.48,148.56,148.76,149.15,1482.7043864799991,13
149.62,148.74,149.07,149.5,3450.2467800199997,14
150.0,149.28,149.62,149.36,2299.437176579995,15
149.9,148.77,149.3,148.78,2174.908670499997,16
149.54,148.29,148.75,149.19,1802.3570130700002,17
149.5,148.49,149.2,148.88,3900.368405149998,18
149.52,147.98,148.89,148.62,2070.3762626000007,19
153.6,148.48,148.68,150.92,12586.558086230049,20
152.63,151.38,151.38,152.12,5511.8599552700025,21
152.43,151.73,152.12,151.88,4446.382296209998,22
152.38,151.72,151.88,151.78,2963.8016492400006,23
151.9,150.01,151.8,151.05,5744.291485400001,0
150.89,149.79,150.81,150.72,1855.89725082,1
151.29,150.7,150.7,150.76,1472.6246308699997,2
151.0,150.12,150.72,150.58,3733.8347584000003,3
151.38,150.32,150.57,150.72,1184.37154143,4
151.06,150.25,150.77,150.9,3074.8914254600018,5
151.86,150.66,150.9,151.01,1119.4126071800006,6
150.95,149.52,150.95,150.46,2657.9213936000006,7
150.28,149.38,150.28,149.94,2782.040111519995,8
150.11,148.67,149.93,149.13,4810.005712099998,9
150.32,148.55,149.13,149.23,4466.979488740003,10
150.28,149.23,149.23,149.62,3027.9762599199985,11
150.0,149.21,149.54,149.92,1475.3199149400004,12
150.0,149.58,149.9,149.92,2148.4616609299997,13
149.95,149.69,149.93,149.87,1024.53573834,14
149.96,149.12,149.91,149.23,2215.70930275,15
151.39,148.18,149.07,149.55,13186.150357520028,16
150.35,149.29,149.55,149.88,2589.1709715899988,17
150.37,149.29,150.0,149.29,1741.6804605300001,18
150.93,149.27,149.39,150.91,4807.543511620003,19
150.93,150.05,150.77,150.35,4908.05985362,20
150.37,149.75,150.37,150.16,763.4063537200004,21
150.16,149.58,150.16,149.61,413.9011704600001,22
149.83,149.52,149.59,149.6,1125.1560064000003,23
150.02,148.94,149.67,149.1,1836.8982405099996,0
149.04,134.05,148.92,136.66,44344.416958719936,1
136.7,135.08,136.7,136.37,12063.575907180031,2
136.37,133.05,136.37,134.18,9332.574245260002,3
134.2,129.14,134.17,129.41,25346.185179960044,4
131.93,129.04,129.53,131.3,6640.674416540007,5
132.6,130.85,131.3,132.6,6105.173300430009,6
133.0,131.09,132.6,131.2,4980.017069110007,7
131.49,129.77,131.21,131.24,10605.698140509996,8
